"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"250010","ÁGUA BRANCA","PB","08/2010","1322","","138522","","104,78",""
"250010","ÁGUA BRANCA","PB","01/2011","1385","","142190","","102,66",""
"250010","ÁGUA BRANCA","PB","07/2004","585","","47815","","81,74",""
"250010","ÁGUA BRANCA","PB","05/2004","585","","47965","","81,99",""
"250010","ÁGUA BRANCA","PB","03/2010","1343","","138469","","103,10",""
"250010","ÁGUA BRANCA","PB","04/2010","1346","","139414,00","","103,58",""
"250010","ÁGUA BRANCA","PB","10/2004","819","","66306","","80,96",""
"250010","ÁGUA BRANCA","PB","07/2011","1400","","169148","","120,82",""
"250010","ÁGUA BRANCA","PB","11/2004","938","","74767","","79,71",""
"250010","ÁGUA BRANCA","PB","08/2011","1417","","174354","","123,04",""
"250010","ÁGUA BRANCA","PB","12/2011","1573","","198444,00","","126,16",""
"250010","ÁGUA BRANCA","PB","08/2020","1557","","4702","","3,02",""
"250010","ÁGUA BRANCA","PB","06/2026","","1827","","1245400","","682,04"
"250010","ÁGUA BRANCA","PB","09/2020","1556","","53531","","34,40",""
"250010","ÁGUA BRANCA","PB","11/2016","1685","","445994","","264,68",""
"250010","ÁGUA BRANCA","PB","08/2007","1442","","120664","","83,68",""
"250010","ÁGUA BRANCA","PB","01/2007","1500","","106485","","70,99",""
"250010","ÁGUA BRANCA","PB","03/2005","1048","","80457","","76,77",""
"250010","ÁGUA BRANCA","PB","12/2007","1441","","120821","","83,85",""
"250010","ÁGUA BRANCA","PB","04/2016","1772","","415395","","234,42",""
"250010","ÁGUA BRANCA","PB","07/2020","1557","","4793","","3,08",""
"250010","ÁGUA BRANCA","PB","08/2005","1130","","85572","","75,73",""
"250010","ÁGUA BRANCA","PB","06/2005","1061","","80852","","76,20",""
"250010","ÁGUA BRANCA","PB","06/2007","1469","","104810","","71,35",""
"250010","ÁGUA BRANCA","PB","08/2016","1739","","454553","","261,39",""
"250010","ÁGUA BRANCA","PB","05/2007","1494","","106423","","71,23",""
"250010","ÁGUA BRANCA","PB","06/2020","1557","","3861","","2,48",""
"250010","ÁGUA BRANCA","PB","01/2026","","1784","","1225506","","686,94"
"250010","ÁGUA BRANCA","PB","05/2020","1557","","3859","","2,48",""
"250010","ÁGUA BRANCA","PB","05/2026","","1812","","1230172","","678,90"
"250010","ÁGUA BRANCA","PB","04/2020","1557","","3950","","2,54",""
"250010","ÁGUA BRANCA","PB","07/2026","","1836","","1255676","","683,92"
